"","x"
"1","액션, 어드벤처..."
"2","마인크래프트"
"3","피파시리즈"
"4","지역"
"5","화투게임"
"6","바이오해저드"
"7","오버워치"
"8","나이트온라인"
"9","오버워치"
"10","게임사, 게임사이..."
"11","오크"
"12","FPS, 슈팅게임"
"13","플레이스테이션"
"14","스페셜포스"
"15","마인크래프트"
"16","몬스터"
"17","마인크래프트"
"18","록맨"
"19","카드게임"
"20","마인크래프트"
"21","인디게임"
"22","엑스박스"
"23","플레이스테이션"
"24","플레이스테이션"
"25","액션, 어드벤처..."
"26","스도쿠"
"27","리그오브레전드"
"28","건즈더듀얼"
"29","리그오브레전드"
"30","리그오브레전드"
"31","액션, 어드벤처..."
"32","피파시리즈"
"33","롤플레잉게임"
"34","롤플레잉게임"
"35","포켓몬"
"36","심즈"
"37","메달오브아너"
"38","피파시리즈"
"39","디지몬알피지"
"40","디지몬알피지"
"41","FPS, 슈팅게임"
"42","게임리그, 게이머"
"43","리그오브레전드"
"44","비디오게임"
"45","마인크래프트"
"46","인디게임"
"47","게임사, 게임사이..."
"48","인디게임"
"49","캐릭터"
"50","카드게임"
"51","리그오브레전드"
"52","롤플레잉게임"
"53","몬스터"
"54","심즈"
"55","프린세스메이커"
"56","캐릭터"
"57","캐릭터"
"58","캐릭터"
"59","모바일게임"
"60","포켓몬"
"61","아이템"
"62","나이트엘프"
"63","롤플레잉게임"
"64","게임사, 게임사이..."
"65","액션, 어드벤처..."
"66","게임리그, 게이머"
"67","몬스터"
"68","마법사"
"69","아이템"
"70","게임사, 게임사이..."
"71","건즈더듀얼"
"72","피파시리즈"
"73","마인크래프트"
"74","리니지2"
"75","커맨드앤컨커"
"76","오버워치"
"77","게임사, 게임사이..."
"78","카운터스트라이크"
"79","휴먼"
"80","바둑"
"81","리니지2"
"82","바둑"
"83","메달오브아너"
"84","모바일게임"
"85","레이싱게임"
"86","오버워치"
"87","게임리그, 게이머"
"88","콜오브듀티"
"89","메이플스토리"
"90","액션, 어드벤처..."
"91","테라"
"92","롤플레잉게임"
"93","게임리그, 게이머"
"94","아이템"
"95","FPS, 슈팅게임"
"96","리니지2"
"97","리그오브레전드"
"98","플레이스테이션"
"99","NBA시리즈"
"100","모바일게임"
"101","액션, 어드벤처..."
"102","콜오브듀티"
"103","액션, 어드벤처..."
"104","액션, 어드벤처..."
