"","x"
"1","
												
													관람객
													
													
													
													
													
														
															
															
																평점 잘 안주는데 만점 줄려고 왔다 
															
														
														
													
												
												
														
															
																팝쟁이(rhkd****)
															
														
														2022.06.22 09:46
													
													
														
															
															
																신고
															
														
													
												"
"2","
												
													관람객
													
													
													
													
													
														
															
															
																영화관이 필요한 이유 
															
														
														
													
												
												
														
															
																우우훗(jong****)
															
														
														2022.06.22 11:14
													
													
														
															
															
																신고
															
														
													
												"
"3","
												
													관람객
													
													
													
													
													
														
															
															
																중국 애들은 불쌍타 나라 잘못 만나서 이런 영화를 극장에서 못보다니 ㅋㅋ 
															
														
														
													
												
												
														
															
																우다닷(real****)
															
														
														2022.06.22 12:05
													
													
														
															
															
																신고
															
														
													
												"
"4","
												
													관람객
													
													
													
													
													
														
															
															
																감동의눈물 나올정도입니다. 평점10점급임.  내가 전투기 탄 기분이였음 
															
														
														
													
												
												
														
															
																허니잼(jong****)
															
														
														2022.06.22 11:23
													
													
														
															
															
																신고
															
														
													
												"
"5","
												
													관람객
													
													
													
													
													
														
															
																
																	
																		탑건1(1986년)의 36년만의 나온 속편. 매우 만족 스러웠고 매우 재밌었다 무조건 특별관에서 봐야되는 영화 2022년 개봉작 영화중에서 범죄도시2 이후 2번째로 엄청 좋았던 영화 톰 크루즈 미모는 여전히 잘생겼다...
																	
																
															
															
														
														
													
												
												
														
															
																Abc123(fowe****)
															
														
														2022.06.22 09:43
													
													
														
															
															
																신고
															
														
													
												"
"6","
												
													관람객
													
													
													
													
													
														
															
															
																이 시대의 마지막 액션스타, ""톰 크루즈"" 
															
														
														
													
												
												
														
															
																jydp****
															
														
														2022.06.22 09:42
													
													
														
															
															
																신고
															
														
													
												"
"7","
												
													관람객
													
													
													
													
													
														
															
															
																다른 말이 필요한가 레.전.드 
															
														
														
													
												
												
														
															
																어흥왕(scot****)
															
														
														2022.06.22 11:04
													
													
														
															
															
																신고
															
														
													
												"
"8","
												
													관람객
													
													
													
													
													
														
															
															
																개쩐다 말이 필요없음 직접확인 
															
														
														
													
												
												
														
															
																유에(scm0****)
															
														
														2022.06.22 09:52
													
													
														
															
															
																신고
															
														
													
												"
"9","
												
													관람객
													
													
													
													
													
														
															
															
																감동까지 겸비한 최고의 블록버스터 
															
														
														
													
												
												
														
															
																elurios(mais****)
															
														
														2022.06.22 09:46
													
													
														
															
															
																신고
															
														
													
												"
"10","
												
													관람객
													
													
													
													
													
														
															
															
																지린다... 지려 할말이 없게 만듬.. 
															
														
														
													
												
												
														
															
																at96****
															
														
														2022.06.22 11:29
													
													
														
															
															
																신고
															
														
													
												"
"11","
												
													관람객
													
													
													
													
													
														
															
															
																영화관에서 탑건 보고 집에 가려고 차 핸들 잡는데 F-18 탄것도 아니면서 쓸데없이 비장해짐 
															
														
														
													
												
												
														
															
																seek(dktm****)
															
														
														2022.06.25 22:26
													
													
														
															
															
																신고
															
														
													
												"
"12","
												
													관람객
													
													
													
													
													
														
															
															
																돌아가신 아버지가 탑건1을 좋아하셨는데 살아계시다면 꼭 함께 아이맥스관에서 관람하고 싶었어요 아버지와 함께 보는 기분으로 봤어요 
															
														
														
													
												
												
														
															
																달려라코코몽(kkkm****)
															
														
														2022.06.23 18:06
													
													
														
															
															
																신고
															
														
													
												"
"13","
												
													관람객
													
													
													
													
													
														
															
															
																영화 보고 이렇게 기분 좋게 나왔던거 너무 오랜만인것같다 ㅋㅋㅋ 
															
														
														
													
												
												
														
															
																HBD(seow****)
															
														
														2022.06.22 18:47
													
													
														
															
															
																신고
															
														
													
												"
"14","
												
													관람객
													
													
													
													
													
														
															
																
																	
																		CG시대에 실제 항공기 비행촬영을 한, OTT시대에도 왜 영화관이어야 하는지 새삼 알려준, 헐리우드 영화 황금기 그 시절 극장에서 박수치고 가슴뛰며 보던 그 흥분을 다시 느끼게 해준 영화! 오프닝 탑건 ANTHEM과...
																	
																
															
															
														
														
													
												
												
														
															
																seminol(evxk****)
															
														
														2022.06.22 16:16
													
													
														
															
															
																신고
															
														
													
												"
